MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count, Well_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,VI_Count_Down
12/14/2095 3:37:28,1.16.2,VAR INT,3,4.14,nan,1,Right,Left,0,1,0,0,0,nan,nan,0.03,nan
12/14/2095 3:37:29,1.16.2,VAR INT,3,4.14,nan,1,Right,Left,0,2,0,0,0,nan,nan,0.05,nan
12/14/2095 3:37:36,1.16.2,VAR INT,3,4.14,nan,1,Right,Left,0,3,0,0,0,nan,nan,0.08,nan
12/14/2095 3:37:52,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,1,3,0,0,0,nan,nan,0.02,nan
12/14/2095 3:37:54,1.16.2,VAR INT,3,4.14,2,1,Pellet,Left,1,3,0,1,0,0.73,nan,nan,nan
12/14/2095 3:38:10,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,2,3,0,1,0,nan,nan,0.07,nan
12/14/2095 3:38:10,1.16.2,VAR INT,3,4.14,nan,1,Set VI,Left,2,3,0,1,0,nan,nan,nan,14.50
12/14/2095 3:38:23,1.16.2,VAR INT,3,4.14,2,1,Pellet,Left,2,3,0,2,0,0.06,29,nan,nan
12/14/2095 3:38:48,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,3,3,0,2,0,nan,nan,0.04,nan
12/14/2095 3:38:49,1.16.2,VAR INT,3,4.14,nan,1,Set VI,Left,3,3,0,2,0,nan,nan,nan,10.50
12/14/2095 3:38:51,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,4,3,0,2,0,nan,nan,0.09,8.45
12/14/2095 3:38:57,1.16.2,VAR INT,3,4.13,nan,1,Left,Left,5,3,0,2,0,nan,nan,0.60,0.32
12/14/2095 3:38:58,1.16.2,VAR INT,3,4.14,1,1,Pellet,Left,5,3,0,3,0,0.67,35,nan,nan
12/14/2095 3:39:09,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,6,3,0,3,0,nan,nan,0.10,nan
12/14/2095 3:39:09,1.16.2,VAR INT,3,4.14,nan,1,Set VI,Left,6,3,0,3,0,nan,nan,nan,17.50
12/14/2095 3:39:11,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,7,3,0,3,0,nan,nan,0.37,15.74
12/14/2095 3:39:14,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,8,3,0,3,0,nan,nan,0.00,11.16
12/14/2095 3:39:25,1.16.2,VAR INT,3,4.14,2,1,Pellet,Left,8,3,0,4,0,1.22,27,nan,nan
12/14/2095 3:39:42,1.16.2,VAR INT,3,4.14,nan,1,Right,Left,8,4,0,4,0,nan,nan,0.20,nan
12/14/2095 3:39:43,1.16.2,VAR INT,3,4.14,nan,1,Right,Left,8,5,0,4,0,nan,nan,0.00,nan
12/14/2095 3:39:56,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,9,5,0,4,0,nan,nan,0.18,nan
12/14/2095 3:39:56,1.16.2,VAR INT,3,4.14,nan,1,Set VI,Left,9,5,0,4,0,nan,nan,nan,11.50
12/14/2095 3:40:05,1.16.2,VAR INT,3,4.14,2,1,Pellet,Left,9,5,0,5,0,0.06,40,nan,nan
12/14/2095 3:40:13,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,10,5,0,5,0,nan,nan,0.16,nan
12/14/2095 3:40:13,1.16.2,VAR INT,3,4.14,nan,1,Set VI,Left,10,5,0,5,0,nan,nan,nan,14.50
12/14/2095 3:40:15,1.16.2,VAR INT,3,4.14,nan,1,Left,Left,11,5,0,5,0,nan,nan,0.03,12.45
